,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
45,2017.0,Book,102795,23181,79614,26789,9481,5594,5343,5602,9481,102795,102795,102795,102795,36615,69053,69053,3813,0,0,0,0,4137,2150,1293,1235,1295,2150,23181,23181,23181,23181,12222,15112,15112,1099,0,0,0,0,22652,7331,4301,4108,4307,7331,79614,79614,79614,79614,24393,53941,53941,2714,0,0,0,0
46,2017.0,BookChapter,216021,193222,22799,32718,25814,21790,21099,21897,25814,216021,216021,216021,216021,33742,139682,139682,45637,0,0,0,0,26323,24707,21264,20583,21371,24707,193222,193222,193222,193222,31409,126542,126542,44562,0,0,0,0,6395,1107,526,516,526,1107,22799,22799,22799,22799,2333,13140,13140,1075,0,0,0,0
47,2017.0,Conference,251376,236390,14986,228562,209097,219502,211904,221211,209097,251376,251376,251376,251376,164902,245249,245249,212206,0,0,0,0,221202,204205,207672,200330,209271,204205,236390,236390,236390,236390,157364,231806,231806,207612,0,0,0,0,7360,4892,11830,11574,11940,4892,14986,14986,14986,14986,7538,13443,13443,4594,0,0,0,0
48,2017.0,Dataset,19059,8190,10869,10222,22,16,16,16,22,9410,9410,9410,9410,997,17742,17742,58,0,0,0,0,2688,17,15,15,15,17,8190,8190,8190,8190,549,7571,7571,10,0,0,0,0,7534,5,1,1,1,5,1220,1220,1220,1220,448,10171,10171,48,0,0,0,0
49,2017.0,Journal,3330396,2908773,421623,2377648,2388251,2122329,2075290,2133666,2388251,3330396,3330396,3330396,3330396,2147374,3098389,3098389,2096403,3330396,3022334,3330396,3330396,2220324,2275424,2043545,2000261,2054282,2275424,2908773,2908773,2908773,2908773,2073421,2785839,2785839,2063661,2908773,2695539,2908773,2908773,157324,112827,78784,75029,79384,112827,421623,421623,421623,421623,73953,312550,312550,32742,421623,326795,421623,421623
50,2017.0,Patent,2864570,144,2864426,2665810,215992,108305,95943,109734,215992,2864570,2864570,2864570,2864570,1137385,2615435,2615435,1182931,99,79,99,99,111,96,88,83,88,96,144,144,144,144,96,126,126,108,76,72,76,76,2665699,215896,108217,95860,109646,215896,2864426,2864426,2864426,2864426,1137289,2615309,2615309,1182823,23,7,23,23
51,2017.0,Repository,228750,81514,147236,217675,116560,111017,108076,111494,116560,228750,228750,228750,228750,83081,220403,220403,112785,202384,5400,202384,202384,77828,61677,58092,56804,58274,61677,81514,81514,81514,81514,34897,80405,80405,51838,76733,942,76733,76733,139847,54883,52925,51272,53220,54883,147236,147236,147236,147236,48184,139998,139998,60947,125651,4458,125651,125651
52,2017.0,Thesis,472399,22994,449405,261881,10182,1451,1262,1478,10182,472399,472399,472399,472399,23263,240444,240444,23241,0,0,0,0,9055,250,129,120,131,250,22994,22994,22994,22994,3004,18063,18063,2334,0,0,0,0,252826,9932,1322,1142,1347,9932,449405,449405,449405,449405,20259,222381,222381,20907,0,0,0,0
53,2016.0,,4649878,1073964,3575914,1755538,909438,530610,505987,536692,909438,4649878,4649878,4649878,4649878,466536,2632126,2632126,596260,0,0,0,0,561857,491040,330795,316273,333737,491040,1073964,1073964,1073964,1073964,287677,765908,765908,357518,0,0,0,0,1193681,418398,199815,189714,202955,418398,3575914,3575914,3575914,3575914,178859,1866218,1866218,238742,0,0,0,0
54,2016.0,Book,94828,21842,72986,29297,8980,5093,4874,5106,8980,94828,94828,94828,94828,36730,62449,62449,4067,0,0,0,0,4410,2139,1320,1268,1322,2139,21842,21842,21842,21842,12662,14389,14389,1289,0,0,0,0,24887,6841,3773,3606,3784,6841,72986,72986,72986,72986,24068,48060,48060,2778,0,0,0,0
55,2016.0,BookChapter,189974,169087,20887,30569,23264,19285,18635,19354,23264,189974,189974,189974,189974,32132,115665,115665,37223,0,0,0,0,24542,21984,18663,18028,18732,21984,169087,169087,169087,169087,29519,104172,104172,36101,0,0,0,0,6027,1280,622,607,622,1280,20887,20887,20887,20887,2613,11493,11493,1122,0,0,0,0
56,2016.0,Conference,258443,237308,21135,239426,220077,226541,217969,228358,220077,258443,258443,258443,258443,178840,254486,254486,229037,0,0,0,0,226272,209769,209102,201079,210801,209769,237308,237308,237308,237308,167194,234931,234931,218894,0,0,0,0,13154,10308,17439,16890,17557,10308,21135,21135,21135,21135,11646,19555,19555,10143,0,0,0,0
57,2016.0,Dataset,9623,4727,4896,4175,43,32,28,32,43,5595,5595,5595,5595,625,8754,8754,23,0,0,0,0,1282,35,29,27,29,35,4727,4727,4727,4727,391,4491,4491,10,0,0,0,0,2893,8,3,1,3,8,868,868,868,868,234,4263,4263,13,0,0,0,0
