,published_year,type,num_objects,num_dois,num_non_dois,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_id_countrycode,objects_has_affiliations_id_ror,objects_has_affiliations_id_source,objects_has_affiliations_string,objects_has_authors,objects_has_authors_id_orcid,objects_has_authors_id_source,objects_has_authors_sequence,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_funders,objects_has_funders_id_source,objects_has_funders_string,objects_has_references,objects_has_venue,objects_has_venue_id_issn,objects_has_venue_id_issnl,objects_has_venue_id_source,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_id_countrycode,dois_has_affiliations_id_ror,dois_has_affiliations_id_source,dois_has_affiliations_string,dois_has_authors,dois_has_authors_id_orcid,dois_has_authors_id_source,dois_has_authors_sequence,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_funders,dois_has_funders_id_source,dois_has_funders_string,dois_has_references,dois_has_venue,dois_has_venue_id_issn,dois_has_venue_id_issnl,dois_has_venue_id_source,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_id_countrycode,non_dois_has_affiliations_id_ror,non_dois_has_affiliations_id_source,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_id_orcid,non_dois_has_authors_id_source,non_dois_has_authors_sequence,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_funders,non_dois_has_funders_id_source,non_dois_has_funders_string,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_id_issn,non_dois_has_venue_id_issnl,non_dois_has_venue_id_source,non_dois_has_venue_string
41,2023,report,23097,22757,340,5913,6737,6737,6737,6737,6737,17718,10975,17718,17718,17718,494,23097,206,206,206,300,7083,600,600,7083,7083,5910,6467,6467,6467,6467,6467,17378,10812,17378,17378,17378,494,22757,206,206,206,300,6785,600,600,6785,6785,3,270,270,270,270,270,340,163,340,340,340,0,340,0,0,0,0,298,0,0,298,298
42,2023,standard,14614,14614,0,1734,127,127,127,127,127,143,96,143,143,143,117,14614,0,0,0,106,0,0,0,0,0,1734,127,127,127,127,127,143,96,143,143,143,117,14614,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2022,article,6478656,6382294,96362,5022846,4372006,4372003,4372006,4372006,4372006,6203951,4735766,6203951,6203951,6203951,2255130,6467412,1099268,1099268,1099268,3401345,6005217,4991699,4991699,6005217,6005217,5004053,4304033,4304031,4304033,4304033,4304033,6108739,4675757,6108739,6108739,6108739,2251508,6371647,1099256,1099256,1099256,3396011,5912526,4990245,4990245,5912526,5912526,18793,67973,67972,67973,67973,67973,95212,60009,95212,95212,95212,3622,95765,12,12,12,5334,92691,1454,1454,92691,92691
44,2022,book,88629,84822,3807,32991,12689,12689,12689,12689,12689,60786,27145,60786,60786,60786,16230,88307,187,187,187,1463,54397,4771,4771,54397,54397,32777,10380,10380,10380,10380,10380,56987,25998,56987,56987,56987,16153,84515,187,187,187,1440,51296,4771,4771,51296,51296,214,2309,2309,2309,2309,2309,3799,1147,3799,3799,3799,77,3792,0,0,0,23,3101,0,0,3101,3101
45,2022,book-chapter,1025067,1015006,10061,342479,305533,305533,305533,305533,305533,754343,417895,754343,754343,754343,69436,1023294,1806,1806,1806,291680,924231,57339,57339,924231,924231,342400,299077,299077,299077,299077,299077,744283,415578,744283,744283,744283,69433,1013272,1806,1806,1806,291668,914936,57337,57337,914936,914936,79,6456,6456,6456,6456,6456,10060,2317,10060,10060,10060,3,10022,0,0,0,12,9295,2,2,9295,9295
46,2022,book-part,1617,1617,0,892,84,84,84,84,84,134,76,134,134,134,16,1616,0,0,0,100,1617,17,17,1617,1617,892,84,84,84,84,84,134,76,134,134,134,16,1616,0,0,0,100,1617,17,17,1617,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2022,book-series,65,65,0,34,2,2,2,2,2,9,3,9,9,9,3,65,0,0,0,0,56,11,11,56,56,34,2,2,2,2,2,9,3,9,9,9,3,65,0,0,0,0,56,11,11,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2022,book-set,48,48,0,6,6,6,6,6,6,34,21,34,34,34,2,48,0,0,0,0,45,0,0,45,45,6,6,6,6,6,6,34,21,34,34,34,2,48,0,0,0,0,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2022,dataset,531232,531229,3,41551,455018,455018,455018,455018,455018,473493,26685,473493,473493,473493,731,531019,878,878,878,6879,526841,103,103,526841,526841,41548,455018,455018,455018,455018,455018,473490,26683,473490,473490,473490,731,531016,878,878,878,6879,526841,103,103,526841,526841,3,0,0,0,0,0,3,2,3,3,3,0,3,0,0,0,0,0,0,0,0,0
50,2022,dissertation,76941,76729,212,49951,7226,7226,7226,7226,7226,76930,17691,76930,76930,76930,5482,76766,8,8,8,10493,1583,0,0,1583,1583,49944,7064,7064,7064,7064,7064,76720,17646,76720,76720,76720,5482,76554,8,8,8,10489,1382,0,0,1382,1382,7,162,162,162,162,162,210,45,210,210,210,0,212,0,0,0,4,201,0,0,201,201
