id,primary_name,prefix,name,public_references,collection_date
101,Hogrefe Publishing Group,10.1026,Hogrefe Publishing Group,True,2021-12-31 18:26:46.007492
102,Health Affairs (Project Hope),10.1377,Project Hope,True,2021-12-31 18:26:46.007492
103,International Bone & Mineral Society,10.1138,International Bone and Mineral Society,False,2021-12-31 18:26:46.007492
108,Institute of Mathematical Statistics,10.1214,Institute of Mathematical Statistics,False,2021-12-31 18:26:46.007492
109,Institute for Operations Research and the Management Sciences (INFORMS),10.1287,Institute for Operations Research and the Management Sciences,True,2021-12-31 18:26:46.007492
111,Institute of Organic Chemistry & Biochemistry,10.1135,"Institute of Organic Chemistry & Biochemistry, Academy of Sciences of the Czech Republic",False,2021-12-31 18:26:46.007492
112,ISEAS - Yusof Ishak Institute,10.1355,ISEAS - Yusof Ishak Institute,False,2021-12-31 18:26:46.007492
113,International Union of Pure and Applied Chemistry (IUPAC),10.1351,International Union of Pure and Applied Chemistry,True,2021-12-31 18:26:46.007492
116,Japanese Society of  Mammalian Ova Research,10.1274,BioOne (Japanese Society of Mammalian Ova Research),False,2021-12-31 18:26:46.007492
118,Japan Society of Equine Science,10.1294,Japan Society of Equine Science,False,2021-12-31 18:26:46.007492
119,Japanese Society of Hypertension,10.1291,Japanese Society of Hypertension,False,2021-12-31 18:26:46.007492
120,Japanese Physical Therapy Association,10.1298,Japanese Physical Therapy Association,True,2021-12-31 18:26:46.007492
121,Japanese Society of Toxicologic Pathology,10.1293,The Japanese Society of Toxicologic Pathology,False,2021-12-31 18:26:46.007492
122,Japanese Society of Veterinary Science,10.1292,Japanese Society of Veterinary Science,False,2021-12-31 18:26:46.007492
123,Japan Radiation Research Society,10.1269,The Japan Radiation Research Society,False,2021-12-31 18:26:46.007492
124,Japan Society of Mechanical Engineers,10.1299,The Japan Society of Mechanical Engineers,False,2021-12-31 18:26:46.007492
125,Japanese Society for Pediatric Endocrinology,10.1297,The Japanese Society for Pediatric Endocrinology,False,2021-12-31 18:26:46.007492
127,S. Karger AG,10.1159,S. Karger AG,True,2021-12-31 18:26:46.007492
130,Thomas Land Publishers,10.1310,"Thomas Land Publishers, Inc.",False,2021-12-31 18:26:46.007492
137,Pleiades Publishing Ltd,10.1134,Pleiades Publishing,True,2021-12-31 18:26:46.007492
138,Maney Publishing,10.1179,Maney Publishing,True,2021-12-31 18:26:46.007492
140,Emerald,10.35241,Emerald - Emerald Open Research,True,2021-12-31 18:26:46.007492
140,Emerald,10.1108,Emerald (MCB UP),True,2021-12-31 18:26:46.007492
140,Emerald,10.5042,Emerald - Pier Professional,True,2021-12-31 18:26:46.007492
141,Metapress,10.1092,Metapress,False,2021-12-31 18:26:46.007492
143,Michigan Mathematical Journal,10.1307,Michigan Mathematical Journal,False,2021-12-31 18:26:46.007492
147,Project Muse,10.1353,Project MUSE,True,2021-12-31 18:26:46.007492
147,Project Muse,10.26597,JHUP Journals Division,True,2021-12-31 18:26:46.007492
149,Notre Dame Journal of Formal Logic,10.1305,Notre Dame Journal of Formal Logic,False,2021-12-31 18:26:46.007492
150,Massachusetts Medical Society,10.1056,New England Journal of Medicine,False,2021-12-31 18:26:46.007492
155,Canadian Science Publishing,10.1139,Canadian Science Publishing,True,2021-12-31 18:26:46.007492
160,Penn State Press (Project Muse),10.1376,Muse - Penn State Press,False,2021-12-31 18:26:46.007492
162,Royal Pharmaceutical Society,10.1211,Royal Pharmaceutical Society,False,2021-12-31 18:26:46.007492
162,Royal Pharmaceutical Society,10.18578,Royal Pharmaceutical Society,False,2021-12-31 18:26:46.007492
163,Pharmaceutical Society of Japan,10.1248,Pharmaceutical Society of Japan,False,2021-12-31 18:26:46.007492
164,Pion Ltd,10.1068,Pion Ltd.,False,2021-12-31 18:26:46.007492
165,Bristol University Press,10.47674,Bristol University Press,True,2021-12-31 18:26:46.007492
165,Bristol University Press,10.1332,Bristol University Press,False,2021-12-31 18:26:46.007492
165,Bristol University Press,10.51952,Bristol University Press,True,2021-12-31 18:26:46.007492
165,Bristol University Press,10.46692,Bristol University Press,True,2021-12-31 18:26:46.007492
170,Royal College of Psychiatrists,10.1192,Royal College of Psychiatrists,True,2021-12-31 18:26:46.007492
171,Royal College of Surgeons of England,10.1308,The Royal College of Surgeons of England,True,2021-12-31 18:26:46.007492
175,The Royal Society,10.1098,The Royal Society,True,2021-12-31 18:26:46.007492
177,Royal Swedish Academy of Sciences,10.1238,Royal Swedish Academy of Sciences,False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.47594,Adam Matthew Digital,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.47515,SAGE Publications,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1622,SagePublications - National Association of School Nurses,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1630,Sage Publications-International Institute for Environment and Development,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1606,Alliance for Children and Families,False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.3818,Justice Research & Statistics Association,False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.3821,Canadian Pharmacists Journal,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1243,Research Publishing Services - Professional Engineering Publishing,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1258,The Royal Society of Medicine,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1106,Sage Publications - Technomic Publishing Company,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1191,Arnold Publishers,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1177,SAGE Publications,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.31124,SAGE Publications,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1345,Harvey Whitney Books Co.,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1354,American College of Veterinary Pathologists,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.1369,Journal of Histochemistry & Cytochemistry,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.3317,Sage Publications (JRAAS Limited),True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.5153,Sociological Research Online,False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.5126,"Excellus Health Plan, Inc.",True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.5193,Association for Experimental Education,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.5034,"Excellus Health Plan, Inc.",True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.5367,IP Publishing,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.5301,"Wichtig Publishing, SRL",False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.7182,North American Transplant Coordinators Organization,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.14240,SAGE,False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.2968,Sage Publications - Bulletin of the Atomic Scientists,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.12679,Alliance for Children and Families,False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.2511,TASH,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.2182,Canadian Association of Occupational Therapists,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.2189,"Johnson Graduate School of Management, Cornell University",False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.4137,"Libertas Academica, Ltd.",False,2021-12-31 18:26:46.007492
179,SAGE Publications,10.4135,Sage Publications - Reference E-Books,True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.4219,"Sage Publications (Prufrock Press, Inc.)",True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.15256,"Swiss Medical Press, GmbH",True,2021-12-31 18:26:46.007492
179,SAGE Publications,10.17322,Sage - Corwin,True,2021-12-31 18:26:46.007492
180,Society for Applied Spectroscopy,10.1366,Society for Applied Spectroscopy,False,2021-12-31 18:26:46.007492
181,Schweizerbart,10.1127,Schweizerbart,False,2021-12-31 18:26:46.007492
183,Society for Leukocyte Biology,10.1189,Society for Leukocyte Biology,False,2021-12-31 18:26:46.007492
186,Society of Exploration Geophysicists,10.1190,Society of Exploration Geophysicists,True,2021-12-31 18:26:46.007492
186,Society of Exploration Geophysicists,10.7462,Society of Exploration Geophysicists,True,2021-12-31 18:26:46.007492
