,id,primary_name,prefix,name,public_references,collection_date
301,194,Georg Thieme Verlag KG,10.4338,Thieme (Applied Clinical Informatics),True,20211223
302,194,Georg Thieme Verlag KG,10.15265,Thieme GmbH (IMIA Yearbook of Medical Informatics),True,20211223
303,200,University of Chicago Press,10.5950,The MRE Foundation,False,20211223
304,200,University of Chicago Press,10.1086,The University of Chicago Press,False,20211223
305,200,University of Chicago Press,10.7208,University of Chicago Press,False,20211223
307,204,Uitgeverij Boom,10.1347,Uitgeverij Boom,False,20211223
309,208,Universite du Quebec a Chicoutimi,10.1522,Universite du Quebec a Chicoutimi,False,20211223
311,217,College Literature (Project Muse),10.1372,Muse - College Literature,False,20211223
313,219,World Scientific Pub Co Pte Ltd,10.1142,World Scientific ,True,20211223
315,221,American Association for the Advancement of Science (AAAS),10.1126,American Association for the Advancement of Science (AAAS),True,20211223
316,221,American Association for the Advancement of Science (AAAS),10.34133,AAAS00,True,20211223
318,222,American Association for Clinical Chemistry (AACC),10.15428,American Association for Clinical Chemistry - CCTC,False,20211223
319,222,American Association for Clinical Chemistry (AACC),10.1373,American Association for Clinical Chemistry,False,20211223
321,223,American Association on Intellectual and Developmental Disabilities (AAIDD),10.1352,American Association on Intellectual and Developmental Disabilities,False,20211223
323,224,American Association of Physicists in Medicine (AAPM),10.37206,American Association of Physicists in Medicine (AAPM),True,20211223
325,229,American Museum of Natural History (BioOne sponsored),10.1206,BioOne (American Museum of Natural History),False,20211223
327,230,American Psychiatric Association Publishing,10.1176,American Psychiatric Association Publishing,False,20211223
329,231,Acoustical Society of America (ASA),10.1121,Acoustical Society of America ,False,20211223
331,232,American Society for Clinical Investigation,10.1172,American Society for Clinical Investigation,True,20211223
333,233,American Society of Clinical Oncology (ASCO),10.1200,American Society of Clinical Oncology,True,20211223
334,233,American Society of Clinical Oncology (ASCO),10.14694,American Society of Clinical Oncology (Educational Books),True,20211223
336,234,American Society of Hematology,10.1182,American Society of Hematology,True,20211223
338,235,American Society for Microbiology,10.1128,American Society for Microbiology,True,20211223
340,237,The Company of Biologists,10.1242,The Company of Biologists,True,20211223
341,237,The Company of Biologists,10.31981,PreLights (The Company of Biologists),True,20211223
343,239,BMJ,10.1783,Faculty of Family Planning,True,20211223
344,239,BMJ,10.1136,BMJ,True,20211223
346,242,CABI Publishing,10.31220,AgriXiv,True,20211223
347,242,CABI Publishing,10.1079,CABI Publishing,True,20211223
348,242,CABI Publishing,10.12774,CABI Publishing - Evidence on Demand,False,20211223
350,245,Chem-Bio Informatics Society,10.1273,Chem-Bio Informatics Society,False,20211223
352,246,Cold Spring Harbor Laboratory,10.1261,Cold Spring Harbor Laboratory,True,20211223
353,246,Cold Spring Harbor Laboratory,10.1101,Cold Spring Harbor Laboratory,True,20211223
354,246,Cold Spring Harbor Laboratory,10.1110,,False,20211223
355,246,Cold Spring Harbor Laboratory,10.14224,Cold Spring Harbor Laboratory - CSHL Library & Archives,False,20211223
357,250,EDP Sciences,10.1051,EDP Sciences,True,20211223
358,250,EDP Sciences,10.9742,EDP Sciences,True,20211223
359,250,EDP Sciences,10.2515,EDP Sciences,True,20211223
360,250,EDP Sciences,10.2516,EDP Sciences,True,20211223
362,252,Environmental Health Perspectives,10.1289,Environmental Health Perspectives,True,20211223
364,253,Project Euclid,10.3792,Project Euclid,False,20211223
366,254,Fibre Diffraction Review,10.1382,Fibre Diffraction Review,False,20211223
368,257,Geological Society of America,10.1130,Geological Society of America,True,20211223
370,259,Guttmacher Institute,10.1363,Guttmacher Institute,True,20211223
372,260,The Haworth Press,10.1300,"Informa UK (Haworth Press, Inc.,)",False,20211223
374,263,Institute of Electrical and Electronics Engineers (IEEE),10.1109,Institute of Electrical and Electronics Engineers,False,20211223
375,263,Institute of Electrical and Electronics Engineers (IEEE),10.21629,Journal of Systems Engineering and Electronics,False,20211223
376,263,Institute of Electrical and Electronics Engineers (IEEE),10.47962,Institute of Electrical and Electronics Engineers (IEEE) StandardDocs,True,20211223
377,263,Institute of Electrical and Electronics Engineers (IEEE),10.23919,Institute of Electrical and Electronics Engineers,False,20211223
378,263,Institute of Electrical and Electronics Engineers (IEEE),10.36227,Institute of Electrical and Electronics Engineers (IEEE) preprint,True,20211223
380,263,Institute of Electrical and Electronics Engineers (IEEE),10.15325,Institute of Electrical and Electronics Engineers - Bell Labs,False,20211223
381,263,Institute of Electrical and Electronics Engineers (IEEE),10.30941,Electrical Engineering Press Co. Ltd.,True,20211223
382,264,IFIS Publishing,10.1616,IFIS Publishing,False,20211223
384,265,Institution of Engineering and Technology (IET),10.1049,Institution of Electrical Engineers,True,20211223
386,266,IOP Publishing,10.35848,IOP Publishing,True,20211223
387,266,IOP Publishing,10.1209,IOP Publishing - Europhysics Letters,False,20211223
388,266,IOP Publishing,10.1070,Turpion ,False,20211223
389,266,IOP Publishing,10.1088,IOP Publishing,True,20211223
391,268,Japanese Society of Applied Entomology & Zoology,10.1303,Japanese Society of Applied Entomology & Zoology,False,20211223
393,269,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",10.1271,"Japan Society for Bioscience, Biotechnology, and Agrochemistry",False,20211223
395,270,Journal of Marine Research/Yale,10.1357,Journal of Marine Research/Yale,False,20211223
397,271,Japanese Society of Breeding,10.1270,Japanese Society of Breeding,False,20211223
399,272,Japan Science and Technology Agency (JST),10.52926,Japan Science and Technology Agency (JST),True,20211223
400,272,Japan Science and Technology Agency (JST),10.1241,Japan Science and Technology Agency,False,20211223
402,276,Ovid Technologies (Wolters Kluwer Health),10.1519,Ovid Technologies (Wolters Kluwer) - National Strength & Conditioning,True,20211223
403,276,Ovid Technologies (Wolters Kluwer Health),10.11124,Joanna Briggs Institute,True,20211223
404,276,Ovid Technologies (Wolters Kluwer Health),10.1227,Ovid Technologies (Wolters Kluwer) - Neurosurgery,True,20211223
405,276,Ovid Technologies (Wolters Kluwer Health),10.1249,Ovid Technologies (Wolters-Kluwer) - American College of Sports Medicine,True,20211223
406,276,Ovid Technologies (Wolters Kluwer Health),10.1203,Ovid Technologies (Wolters Kluwer) - International Pediatric Research Foundation,True,20211223
407,276,Ovid Technologies (Wolters Kluwer Health),10.1212,Ovid Technologies (Wolters Kluwer) - American Academy of Neurology,True,20211223
408,276,Ovid Technologies (Wolters Kluwer Health),10.1213,Ovid Technologies (Wolters Kluwer) - Anesthesia & Analgesia,True,20211223
409,276,Ovid Technologies (Wolters Kluwer Health),10.1288,Ovid Technologies (Wolters Kluwer) - Triological Society,True,20211223
410,276,Ovid Technologies (Wolters Kluwer Health),10.1161,Ovid Technologies Wolters Kluwer -American Heart Association,True,20211223
411,276,Ovid Technologies (Wolters Kluwer Health),10.1097,Ovid Technologies (Wolters Kluwer) - Lippincott Williams & Wilkins,True,20211223
412,276,Ovid Technologies (Wolters Kluwer Health),10.5435,American Academy of Orthopaedic Surgeons,True,20211223
413,276,Ovid Technologies (Wolters Kluwer Health),10.14309,American College of Gastroenterology,True,20211223
414,276,Ovid Technologies (Wolters Kluwer Health),10.46986,ASA Publications,True,20211223
415,276,Ovid Technologies (Wolters Kluwer Health),10.2459,Ovid Technologies (Wolters Kluwer) - Italian Federation of Cardiology,True,20211223
417,276,Ovid Technologies (Wolters Kluwer Health),10.2106,Journal of Bone and Joint Surgery,True,20211223
418,278,Mary Ann Liebert Inc,10.1089,Mary Ann Liebert,True,20211223
420,281,MIT Press - Journals,10.1162,MIT Press,True,20211223
421,281,MIT Press - Journals,10.31859,MIT Press - Blogs,True,20211223
