,id,primary_name,prefix,name,public_references,collection_date
25338,19373,Laborare,10.33637,Laborare,True,20211223
25340,19374,Universitas Dian Nuswantoro,10.33633,Universitas Dian Nuswantoro,True,20211223
25342,19375,Duzce Universitesi Saglik Bilimleri Enstitusu Dergisi,10.33631,Duzce Universitesi Saglik Bilimleri Enstitusu Dergisi,True,20211223
25344,19376,Revista de Constitucionalizacao do Direito Brasileiro - RECONTO,10.33636,Revista de Constitucionalizacao do Direito Brasileiro - RECONTO,True,20211223
25346,19377,"Federal State Budgetary Scientific Institution Federal Center for Toxicological, Radiation and Biological Safety",10.33632,"Federal State Budgetary Scientific Institution Federal Center for Toxicological, Radiation and Biological Safety",True,20211223
25348,19378,Ankara Universitesi Siyasal Bilgiler Fakultesi,10.33630,Ankara Universitesi Siyasal Bilgiler Fakultesi,True,20211223
25350,19379,Faculdade de Tecnologia de Sertaozinho,10.33635,Faculdade de Tecnologia de Sertaozinho,True,20211223
25352,19380,Instituto Nacional de Cardiologia - Brazil,10.33634,Instituto Nacional de Cardiologia - Brazil,True,20211223
25354,19381,Ankara Universitesi Hukuk Fakultesi Dergisi,10.33629,Ankara Universitesi Hukuk Fakultesi Dergisi,True,20211223
25356,19383,Sociedad de Lucha contra el Cancer del Ecuador - Matriz Guayaquil,10.33821,Sociedad de Lucha contra el Cancer del Ecuador - Matriz Guayaquil,True,20211223
25358,19384,"Museo Nacional de Historia Natural, Prof. Eugenio de Jesus Marcano",10.33800,"Museo Nacional de Historia Natural, Prof. Eugenio de Jesus Marcano",True,20211223
25360,19385,Plant Science Archives,10.33680,Plant Science Archives,True,20211223
25362,19386,Institute for Economic Strategies,10.33917,Institute for Economic Strategies,True,20211223
25364,19387,H-Net: Humanities & Social Sciences Online,10.33823,H-Net: Humanities & Social Sciences Online,True,20211223
25366,19388,Fundacion Instituto Hipolito Unanue,10.33734,Fundacion Instituto Hipolito Unanue,True,20211223
25368,19389,Geophysical Survey of the Russian Academy of Sciences - GS RAS,10.35540,Geophysical Survey of the Russian Academy of Sciences - GS RAS,True,20211223
25370,19390,Gexinonline Publications,10.33790,Gexin Publication,True,20211223
25372,19391,Universitas Terbuka,10.33830,Universitas Terbuka,True,20211223
25374,19392,Hue University of Medicine and Pharmacy,10.34071,Hue University of Medicine and Pharmacy,True,20211223
25376,19393,Perdoski,10.33820,Perdoski,True,20211223
25378,19394,"National Institute of Psychology, Centre of Excellence, Quaid-i-Azam University",10.33824,"National Institute of Psychology, Centre of Excellence, Quaid-i-Azam University",True,20211223
25380,19395,Global Power and Propulsion Society,10.33737,Global Power and Propulsion Society,True,20211223
25382,19396,Universidad Privada SISE,10.33829,Universidad Privada SISE,True,20211223
25384,19397,Scientific Center for Biomedical Technologies of the Federal Medical-Biological Agency,10.33647,Scientific Center for Biomedical Technologies of the Federal Medical-Biological Agency,True,20211223
25386,19398,Universidade de Vigo - UVigo,10.33646,Universidade de Vigo - UVigo,True,20211223
25388,19399,The Korean Association For Lexicography - Korealex,10.33641,The Korean Association For Lexicography - Korealex,True,20211223
25390,19400,Sekolah Tinggi Agama Islam - STAI - Al-Furqan Makassaraf,10.33648,Sekolah Tinggi Agama Islam - STAI - Al-Furqan Makassar,True,20211223
25392,19401,nstitute for Human Studies of Kyungnam University,10.33638,Institute for Human Studies of Kyungnam University,True,20211223
25394,19402,Research Institute for East-West Thought,10.33639,Research Institute for East-West Thought,True,20211223
25396,19403,State Enterprise - State Research Institute of Building Constructions,10.33644,State Enterprise - State Research Institute of Building Constructions,True,20211223
25398,19404,Politeknik Pariwisata Makassar,10.33649,Politeknik Pariwisata Makassar,True,20211223
25400,19405,R. Glier Kyiv Institute of Music,10.33643,R. Glier Kyiv Institute of Music,True,20211223
25402,19406,The Korean Society of Culture and Convergence,10.33645,The Korean Society of Culture and Convergence,True,20211223
25404,19407,University of Kerbala - KIJOMS,10.33640,University of Kerbala,True,20211223
25406,19409,Cadernos do Tempo Presente,10.33662,Cadernos do Tempo Presente,True,20211223
25408,19410,Alfmed LLC,10.33667,Alfmed LLC,True,20211223
25410,19411,STIKES Widya Husada  Semarang,10.33666,STIKES Widya Husada Semarang,True,20211223
25412,19412,Balai Pelestarian Nilai Budaya Kalimantan Barat,10.33652,Balai Pelestarian Nilai Budaya Kalimantan Barat,True,20211223
25414,19413,Badan Perencanaan Pembangunan Daerah Kabupaten Pati,10.33658,Badan Perencanaan Pembangunan Daerah Kabupaten Pati,True,20211223
25416,19414,Akademi Keperawatan Widya Husada Semarang,10.33655,Akademi Keperawatan Widya Husada Semarang,True,20211223
25418,19415,HB Press STIKes Husada Borneo,10.33657,HB Press STIKes Husada Borneo,True,20211223
25420,19416,Politeknik Medica Farma Husada Mataram,10.33651,Politeknik Medica Farma Husada Mataram,True,20211223
25422,19417,Universitas Widya Husada Semarang,10.33660,Akademi Fisioterapi Widya Husada Semarang,True,20211223
25423,19417,Universitas Widya Husada Semarang,10.33666,STIKES Widya Husada Semarang,True,20211223
25424,19417,Universitas Widya Husada Semarang,10.33655,Akademi Keperawatan Widya Husada Semarang,True,20211223
25426,19418,Universitas Nurul Jadid,10.33650,Universitas Nurul Jadid,True,20211223
25428,19419,STKIP Paris Barantai,10.33659,STKIP Paris Barantai,True,20211223
25430,19420,Masyarakat Pernaskahan Nusantara,10.33656,Masyarakat Pernaskahan Nusantara,True,20211223
25432,19421,STIKes Perintis Padang,10.33653,STIKes Perintis Padang,True,20211223
25434,19422,Electronic Scientists and Engineers Society,10.33665,Electronic Scientists and Engineers Society,True,20211223
25436,19423,"Fakultas Pertanian, Universitas Singaperbangsa Karawang",10.33661,"Fakultas Pertanian, Universitas Singaperbangsa Karawang",True,20211223
25438,19424,Japan Society for Studies in Journalism and Mass Communication,10.33664,Japan Society for Studies in Journalism and Mass Communication,True,20211223
25440,19425,STKIP PGRI Banjarmasin,10.33654,STKIP PGRI Banjarmasin,True,20211223
25442,19426,Koretsky Institute of State and Law of National Academy of Sciences of Ukraine,10.33663,Koretsky Institute of State and Law of National Academy of Sciences of Ukraine,True,20211223
25444,19427,Hypertonia es Nephrologia,10.33668,Hypertonia es Nephrologia,True,20211223
25446,19429,Fondazione CUEIM,10.7433,Fondazione CUEIM,True,20211223
25448,19446,Sabinet Online Ltd,10.33935,Sabinet Online Ltd,True,20211223
25450,19447,EScience Press Inc,10.33804,EScience Press Inc,True,20211223
25452,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.25630,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25453,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.25557,Russian Agency for Digital Standardization (RADS),True,20211223
25454,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.25555,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25455,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.21266,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25456,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.25726,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25457,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.33833,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25458,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.51318,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25459,19448,Cifra Ltd - Russian Agency for Digital Standardization (RADS),10.34690,Cifra Ltd - Russian Agency for Digital Standardization (RADS),True,20211223
25461,19450,Central  Power Research Institute,10.33686,Central Power Research Institute,True,20211223
25463,19451,Avrasya Uluslararası Arastırmalar Dergisi,10.33692,Avrasya Uluslararası Arastırmalar Dergisi,True,20211223
25465,19452,Dil Dergisi,10.33690,Dil Dergisi,True,20211223
25467,19454,Spormetre,10.33689,Spormetre,True,20211223
25469,19455,JiL Scientific Research Center,10.33685,JiL Scientific Research Center,True,20211223
25471,19456,Cografi Bilimler Dergisi,10.33688,Cografi Bilimler Dergisi,True,20211223
25473,19457,Askania Nova Institute Of Animal Breeding In The Steppe Regions Named After M.F. Ivanov,10.33694,Askania Nova Institute Of Animal Breeding In The Steppe Regions Named After M.F. Ivanov,True,20211223
25475,19458,YUR-VAK,10.33693,YUR-VAK,True,20211223
25477,19459,The Centre for Conscious Design,10.33797,The Centre for Conscious Design,True,20211223
25479,19460,Haufe-Lexware GmbH and Co. KG,10.34157,Haufe-Lexware GmbH and Co. KG,True,20211223
25480,19460,Haufe-Lexware GmbH and Co. KG,10.34156,Haufe-Lexware GmbH and Co. KG,True,20211223
25482,19461,HTWK Leipzig,10.33968,HTWK Leipzig,True,20211223
25484,19462,Academic Perspective,10.33793,Academic Perspective,True,20211223
25486,19463,Centre for Research and Community Development - Islamic University of Nahdlatul Ulama Jepara,10.34001,Centre for Research and Community Development - Islamic University of Nahdlatul Ulama Jepara,True,20211223
25488,19464,Academic Times,10.33825,Academic Times,True,20211223
25490,19466,Edelweiss Publications Inc,10.33805,Edelweiss Publications Inc,True,20211223
25492,19467,TU1208 GPR Association,10.26376,TU1208 GPR Association,True,20211223
25494,19472,LPPM STIKOM Dinamika Bangsa Jambi,10.33998,LPPM STIKOM Dinamika Bangsa Jambi,True,20211223
25496,19473,Universitas Putera Batam,10.33884,Universitas Putera Batam,True,20211223
25498,19476,NADIA,10.33832,NADIA,True,20211223
25500,19478,International Journal of Multidisciplinary Research And Studies,10.33826,International Journal of Multidisciplinary Research And Studies,True,20211223
25502,19479,Al Bashaer Economic Journal,10.33704,Al Bashaer Economic Journal,True,20211223
25504,19480,El Lougha Arabia Revue,10.33705,El Lougha Arabia Revue,True,20211223
25506,19481,The Association of Professors of English and Translation at Arab Universities - APETAU,10.33806,The Association of Professors of English and Translation at Arab Universities - APETAU,True,20211223
25508,19482,Academy of Medical Optics and Optometry,10.33791,Academy of Medical Optics and Optometry,True,20211223
25510,19483,Korean Association of Cognitive Behavioral Therapy,10.33703,Korean Association of Cognitive Behavioral Therapy,True,20211223
25512,19484,Bishkek State University named after Academician Kusein Karasayev,10.35254,Bishkek State University named after Academician Kusein Karasayev,True,20211223
25514,19485,Al-Qadisyiah Uni - Al-Qadisiyah Journal For Agriculture Sciences - QJAS,10.33794,Al-Qadisyiah Uni - Al-Qadisiyah Journal For Agriculture Sciences - QJAS,True,20211223
25516,19486,Mecon Publications Association,10.33798,Mecon Publications Association,True,20211223
25518,19487,Lietuvos Istorijos Institutas,10.33918,Lietuvos Istorijos Institutas,True,20211223
25520,19490,Dokuz Eylul Universitesi Hukuk Fakultesi Dergisi,10.33717,Dokuz Eylul Universitesi Hukuk Fakultesi Dergisi,True,20211223
25522,19491,"Revista AKEDIA - Versoes, Negligencias e Outros Mundos",10.33726,"Revista AKEDIA - Versoes, Negligencias e Outros Mundos",True,20211223
25524,19492,Inonu Universitesi Saglik Hizmetleri Meslek Yuksek Okulu Dergisi,10.33715,Inonu Universitesi Saglik Hizmetleri Meslek Yuksek Okulu Dergisi,True,20211223
25526,19493,Ictimaiyat,10.33709,Ictimaiyat,True,20211223
25528,19494,Korea Institute for National Unification,10.33728,Korea Institute for National Unification,True,20211223
25530,19495,Marine Science and Technology Bulletin,10.33714,Marine Science and Technology Bulletin,True,20211223
25532,19496,Editura Thoth,10.33727,Editura Thoth,True,20211223
25534,19497,Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi,10.33708,Akdeniz Kadin Calismalari ve Toplumsal Cinsiyet Dergisi,True,20211223
25536,19498,Journal of Emergency Medicine Case Reports,10.33706,Journal of Emergency Medicine Case Reports,True,20211223
25538,19499,Ege Tip Bilimleri Dergisi,10.33713,Ege Tip Bilimleri Dergisi,True,20211223
25540,19500,Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi,10.33707,Afyon Kocatepe Universitesi Iktisadi ve Idari Bilimler Fakultesi Dergisi,True,20211223
25542,19501,Karaelmas Is Sagligi ve Guvenligi Dergisi,10.33720,Karaelmas Is Sagligi ve Guvenligi Dergisi,True,20211223
25544,19502,Mobilya ve Ahsap Malzeme Arastirmalari Dergisi,10.33725,Mobilya ve Ahsap Malzeme Arastirmalari Dergisi,True,20211223
25546,19503,Afro Eurasian Studies,10.33722,Afro Eurasian Studies,True,20211223
25548,19504,Avrasya Uroonkoloji Dernegi,10.33719,Avrasya Uroonkoloji Dernegi,True,20211223
25550,19505,Uluslararasi Yonetim Akademisi Dergisi,10.33712,Uluslararasi Yonetim Akademisi Dergisi,True,20211223
25552,19506,Bilgi Yonetimi,10.33721,Bilgi Yonetimi,True,20211223
25554,19507,Ziraat Muhendisligi,10.33724,Ziraat Muhendisligi,True,20211223
25556,19508,SDU International Journal of Educational Studies,10.33710,SDU International Journal of Educational Studies,True,20211223
25558,19509,Yuzuncu Yil Universitesi Egitim Fakultesi Dergisi,10.33711,Yuzuncu Yil Universitesi Egitim Fakultesi Dergisi,True,20211223
25560,19510,R&S - Research Studies Anatolia Journal,10.33723,R&S - Research Studies Anatolia Journal,True,20211223
25562,19511,Balikesir Medical Journal,10.33716,Balikesir Medical Journal,True,20211223
25564,19512,Trabzon Ilahiyat Dergisi,10.33718,Trabzon Ilahiyat Dergisi,True,20211223
25566,19513,Scientific Research Institute of Intellectual Property National Academy  of Law Sciences of Ukraine,10.33731,Scientific Research Institute of Intellectual Property National Academy of Law Sciences of Ukraine,True,20211223
25568,19514,The Korean Association For Persons With Autism,10.33729,The Korean Association For Persons With Autism,True,20211223
25570,19515,Institute of Agroecology and Environmental Management NAAN,10.33730,Institute of Agroecology and Environmental Management NAAN,True,20211223
25572,19526,Polskie Towarzystwo Kardiologiczne,10.33963,Polskie Towarzystwo Kardiologiczne,True,20211223
25574,19527,Institute of Certified Specialists,10.33847,Institute of Certified Specialists,True,20211223
25576,19528,Eurasian Society of Family Medicine,10.33880,Eurasian Society of Family Medicine,True,20211223
25578,19529,"City University of Science and Information Technology, Peshawar",10.33959,"City University of Science and Information Technology, Peshawar",True,20211223
25580,19531,Universidad Autonoma de Yucatan Facultad de Economia,10.33937,Universidad Autonoma de Yucatan Facultad de Economia,True,20211223
25582,19533,Universitas Pakuan,10.33751,Universitas Pakuan,True,20211223
25584,19534,National Transport University,10.33744,National Transport University,True,20211223
25586,19535,Association for Promotion of Holistic Approach to Environment,10.33765,Association for Promotion of Holistic Approach to Environment,True,20211223
25588,19536,STIKes Alifah Padang,10.33757,STIKes Alifah Padang,True,20211223
25590,19537,Science papers periodical of Donbas National Academy of Civil Engineering and Architecture,10.33740,Science papers periodical of Donbas National Academy of Civil Engineering and Architecture,True,20211223
25592,19538,Polissia Institute of Agriculture of the National Academy of Agrarian Sciences,10.33742,Polissia Institute of Agriculture of the National Academy of Agrarian Sciences,True,20211223
25594,19539,Universitas Faletehan,10.33746,Universitas Faletehan,True,20211223
25596,19540,State Educational-Scientific Establishment The Academy of Financial Management,10.33763,State Educational-Scientific Establishment The Academy of Financial Management,True,20211223
25598,19541,Center for Humanities and Innovation Studies,10.33750,Center for Humanities and Innovation Studies,True,20211223
25600,19542,Saran Publications,10.33745,Saran Publications,True,20211223
25602,19543,International Scientific-Pedagogical Organization of Philologists - WEST-EAST,10.33739,International Scientific-Pedagogical Organization of Philologists - WEST-EAST,True,20211223
25604,19544,Siberian State University of Geosystems and Technologies,10.33764,Siberian State University of Geosystems and Technologies,True,20211223
25606,19545,"University of Basrah, College of Medicine",10.33762,"University of Basrah, College of Medicine",True,20211223
25608,19546,Balai Riset dan Standardisasi Industri Manado,10.33749,Balai Riset dan Standardisasi Industri Manado,True,20211223
25610,19547,Poltekkes Kemenkes Padang,10.33761,Poltekkes Kemenkes Padang,True,20211223
25612,19548,Institute of Dermatology and Venerеology of National Academy of Medical Sciences of Ukraine,10.33743,Institute of Dermatology and Vener?ology of National Academy of Medical Sciences of Ukraine,True,20211223
25614,19549,STIKep PPNI Jawa Barat,10.33755,STIKep PPNI Jawa Barat,True,20211223
25616,19550,Institute of Haematology and Transfusiology of the National Academy of Medical Sciences of Ukraine,10.33741,Institute of Haematology and Transfusiology of the National Academy of Medical Sciences of Ukraine,True,20211223
25618,19551,LPPM STIH Putri Maharaja,10.33760,LPPM STIH Putri Maharaja,True,20211223
25620,19552,Fakultas Hukum Universitas Negeri Gorontalo,10.33756,Fakultas Hukum Universitas Negeri Gorontalo,True,20211223
25622,19553,Lembaga Kajian Demokrasi dan Pemberdayaan Masyarakat,10.33753,Lembaga Kajian Demokrasi dan Pemberdayaan Masyarakat,True,20211223
25624,19554,Perhimpunan Dokter Spesialis Radiologi Indonesia,10.33748,Perhimpunan Dokter Spesialis Radiologi Indonesia,True,20211223
25626,19555,LPSDI Bina Patria,10.33758,LPSDI Bina Patria,True,20211223
25628,19556,Sekolah Tinggi Ilmu Ekonomi Semarang,10.33747,Sekolah Tinggi Ilmu Ekonomi Semarang,True,20211223
25630,19557,Institut Keislaman Abdullah Faqih - INKAFA - Gresik,10.33754,Institut Keislaman Abdullah Faqih - INKAFA - Gresik,True,20211223
25632,19558,Universitas Hasyim Asy'ari Tebuireng Jombang,10.33752,Universitas Hasyim Asy'ari Tebuireng Jombang,True,20211223
25634,19559,APDFI - Asosiasi Pendidikan Diploma Farmasi Indonesia,10.33759,APDFI - Asosiasi Pendidikan Diploma Farmasi Indonesia,True,20211223
25636,19560,Luhansk State University of Internal Affairs named after E.O. Didorenko,10.33766,Luhansk State University of Internal Affairs named after E.O. Didorenko,True,20211223
25638,19564,Indira Institute of Business Management,10.33771,Indira Institute of Business Management,True,20211223
25640,19565,Universitas Halu Oleo,10.33772,Universitas Halu Oleo,True,20211223
25642,19566,Communications Faculty of Sciences University of Ankara Series A2-A3 Physical Sciences and Engineering,10.33769,Communications Faculty of Sciences_University of Ankara_A2-A3,True,20211223
25644,19567,Korea Society of Urban Environment,10.33768,Korea Society of Urban Environment,True,20211223
25646,19568,Journal of Universal Mathematics,10.33773,Journal of Universal Mathematics,True,20211223
25648,19569,The Korean Society of Emotional and Behavioral Disorders,10.33770,The Korean Society of Emotional and Behavioral Disorders,True,20211223
25650,19571,Institute of Industrial Economics of the National Academy of Sciences of Ukraine,10.33691,Institute of Industrial Economics of the National Academy of Sciences of Ukraine,True,20211223
25652,19573,Berdyansk University Of Management and Business Ltd,10.33783,Berdyansk University Of Management and Business Ltd,True,20211223
25654,19574,e-Current Science,10.33786,e-Current Science,True,20211223
25656,19575,Indian Dairy Association,10.33785,Indian Dairy Association,True,20211223
25658,19576,Scientific Research Center Lukomorie,10.33782,Scientific Research Center Lukomorie,True,20211223
25660,19577,Scholarly-Methodical Center Innovative Art Studies,10.33779,Scholarly-Methodical Center Innovative Art Studies,True,20211223
25662,19578,Revista Sinergia,10.33780,Revista Sinergia,True,20211223
25664,19579,Myronivka bulletin,10.33784,Myronivka bulletin,True,20211223
25666,19580,Universidad de Huelva - UHU,10.33776,Universidad de Huelva - UHU.pdf,True,20211223
25668,19581,Clinical Journal of Korean Association of Orthodontists,10.33777,Clinical Journal of Korean Association of Orthodontists,True,20211223
25670,19582,Federal State Budgetary Scientific Institution All-Russian Rice Research Institute,10.33775,Federal State Budgetary Scientific Institution All-Russian Rice Research Institute,True,20211223
25672,19583,Revista da Gama e Souza,10.33781,Revista da Gama e Souza,True,20211223
25674,19584,Korea Convergence Security Association,10.33778,Korea Convergence Security Association,True,20211223
25676,19603,Turkish Spine Society,10.34095,Turkish Spine Society,True,20211223
25678,19604,CICS.NOVA,10.36821,CICS.NOVA,True,20211223
25680,19605,Das Verlag,10.35660,Das Verlag,True,20211223
25682,19606,Asociacion Mexicana para el Estudio de los Hongos AC,10.33885,Asociacion Mexicana para el Estudio de los Hongos AC,True,20211223
25684,19608,Nigeria Physiotherapy Network,10.34058,Nigeria Physiotherapy Network,True,20211223
25686,19609,Al-Qadisiyah Journal of Administrative and Economics,10.33916,Al-Qadisiyah Journal of Administrative and Economics,True,20211223
25688,19610,ELIPSA Dom Wydawniczy i Handlowy,10.33896,ELIPSA Dom Wydawniczy i Handlowy,True,20211223
25690,19611,"Michael Okpara University of Agriculture, Umdike (MOUAU)",10.54328,"College of Veterinary Medicine, Michael Okpara University of Agriculture",True,20211223
25691,19611,"Michael Okpara University of Agriculture, Umdike (MOUAU)",10.33922,Umudike Journal of Engineering and Technology,True,20211223
25693,19612,Ohio University Press,10.34072,Ohio University Press,True,20211223
25695,19613,Instituto Tecnico Superior Espiritu Santo,10.33970,Instituto Tecnico Superior Espiritu Santo,True,20211223
25697,19614,Kasetsart University and Development Institute,10.34044,Kasetsart University and Development Institute,True,20211223
25699,19615,"Faculty of Social Sciences, University of Saints Cyril and Methodius",10.34135,"Faculty of Social Sciences, University of Saints Cyril and Methodius",True,20211223
25701,19618,Japan Society for Food Engineering,10.11301,Japan Society for Food Engineering,True,20211223
25703,19622,Clinical and Experimental Health Sciences,10.33808,Clinical and Experimental Health Sciences,True,20211223
25705,19624,Kherson State Maritime Academy,10.33815,Kherson State Maritime Academy,True,20211223
25707,19625,Federal Williams Research Center of Forage Production and Agroecology,10.33814,Federal Williams Research Center of Forage Production and Agroecology,True,20211223
25709,19626,Muhakeme Dergisi,10.33817,Muhakeme Dergisi,True,20211223
25711,19627,Egyptian Journal of Legal and Economic Studies,10.33812,Egyptian Journal of Legal and Economic Studies,True,20211223
25713,19628,Brazilian Keynesian Review,10.33834,Brazilian Keynesian Review,True,20211223
25715,19629,REVISTA CIENCIA E SUSTENTABILIDADE,10.33809,Revista Ciencia e Sustentabilidade,True,20211223
25717,19630,Grupo de Institutos Fundacoes e Empresas,10.33816,Grupo de Institutos Fundacoes e Empresas,True,20211223
25719,19631,Dar Al-utroha For Scientific Publishing,10.33811,Dar Al-utroha For Scientific Publishing,True,20211223
25721,19632,"The Arab Institution for Education, Science and Arts",10.33850,"The Arab Institution for Education, Science and Arts",True,20211223
25723,19633,Private Enterprise PIIR,10.33813,Private Enterprise PIIR,True,20211223
25725,19634,Seminar Nasional Struktural,10.33810,Seminar Nasional Struktural,True,20211223
25727,19636,Stockholmia - forskning och forlag,10.33819,Stockholmia - forskning och forlag,True,20211223
25729,19637,International Econometric Review,10.33818,International Econometric Review,True,20211223
25731,19638,West Virginia University Libraries,10.33915,West Virginia University Libraries,True,20211223
25733,19649,Sheri-i-Kashmir Institute of Medical Sciences,10.33883,Sheri-i-Kashmir Institute of Medical Sciences,True,20211223
25735,19656,Modern Achievements of Geodesic Science and Industry,10.33841,Modern Achievements of Geodesic Science and Industry,True,20211223
25737,19657,Multi-Science Journal,10.33837,Multi-Science Journal,True,20211223
25739,19658,"V. N. Bakul Institute for Superhard Materials, National Academy of Sciences of Ukraine",10.33839,"V. N. Bakul Institute for Superhard Materials, National Academy of Sciences of Ukraine",True,20211223
25741,19659,Interacao,10.33836,Interacao,True,20211223
25743,19660,The Cheonggye Historical Society,10.33835,The Cheonggye Historical Society,True,20211223
25745,19661,International University of Innovation Technologies,10.33942,International University of Innovation Technologies,True,20211223
25747,19663,International Society of Pelviperineology - ISPP,10.34057,International Society of Pelviperineology - ISPP,True,20211223
25749,19664,SI Institute of Nuclear Medicine and Diagnostic Radiology of NAMS of Ukraine,10.33840,SI Institute of Nuclear Medicine and Diagnostic Radiology of NAMS of Ukraine,True,20211223
25751,19665,Kyiv Orthodox Theological Academy,10.35332,Kyiv Orthodox Theological Academy,True,20211223
25753,19666,Bogdan Khmelnitsky Melitopol State Pedagogical University,10.33842,Bogdan Khmelnitsky Melitopol State Pedagogical University,True,20211223
25755,19667,Scientific Information Agency 'Science-technologies-information',10.33930,Scientific Information Agency Science-technologies-information,True,20211223
25757,19669,National Academy of Fine Arts and Architecture,10.33838,National Academy of Fine Arts and Architecture,True,20211223
25759,19670,LLC AVIAN,10.33845,LLC AVIAN,True,20211223
25761,19671,Journal of Babylon Center for Humanities Studies,10.33843,Journal of Babylon Center for Humanities Studies,True,20211223
25763,19672,Canadian Institute for Knowledge Development,10.33844,Canadian Institute for Knowledge Development,True,20211223
25765,19673,University of Arkansas Press,10.34053,University of Arkansas Press,True,20211223
25767,19676,IADIS - International Association for the Development of the Information Society,10.33965,IADIS - International Association for the Development of the Information Society,True,20211223
25769,19677,Research and Reviews,10.33887,Research and Reviews,True,20211223
25771,19678,"Revista de Psiquiatria y Psicologia Humanista, S.L.",10.33898,"Revista de Psiquiatria y Psicologia Humanista, S.L.",True,20211223
25773,19679,Information Age,10.33941,Information Age,True,20211223
25775,19682,Fundacion Carolina,10.33960,Fundacion Carolina,True,20211223
25777,19683,The FaithX Project,10.33929,The FaithX Project,True,20211223
25779,19684,Patient Safety Authority,10.33940,Patient Safety Authority,True,20211223
25781,19685,University of Baghdad - College of Law,10.35246,University of Baghdad - College of Law,True,20211223
25783,19686,"International Journal of Mathematical, Engineering and Management Sciences plus Mangey Ram",10.33889,"International Journal of Mathematical, Engineering and Management Sciences plus Mangey Ram",True,20211223
25785,19687,Multidisciplines,10.33888,Multidisciplines,True,20211223
25787,19688,IJREAM Publishing House,10.35291,IJREAM Publishing House,True,20211223
25789,19689,The State Enterprise - The State Road Transport Research Institute - SE SRTRI,10.33868,The State Enterprise - The State Road Transport Research Institute - SE SRTRI,True,20211223
25791,19690,Russian Research Institute of Economics - Politics and Law in Science and Technology,10.33873,Russian Research Institute of Economics - Politics and Law in Science and Technology,True,20211223
25793,19691,Universidade Estadual do Parana - Unespar,10.33871,Universidade Estadual do Parana - Unespar,True,20211223
25795,19692,Center of Scientific - Research and Statistical Innovation,10.33870,Center of Scientific - Research and Statistical Innovation,True,20211223
25797,19693,University of Babylon - The College Of Education For Humanitarian Studies,10.33855,University of Babylon - The College Of Education For Humanitarian Studies,True,20211223
25799,19694,The All Russian State University of Justice,10.33874,The All Russian State University of Justice,True,20211223
25801,19695,Proceedings Of The Ukrainian Mineralogical Society,10.33869,Proceedings Of The Ukrainian Mineralogical Society,True,20211223
25803,19696,Krasnodar Regional Public Veterinary Organization,10.33861,Krasnodar Regional Public Veterinary Organization,True,20211223
25805,19697,Scientific Platform,10.33865,Scientific Platform,True,20211223
25807,19698,The Universite Hassiba Benbouali de Chlef,10.33858,The Universite Hassiba Benbouali de Chlef,True,20211223
25809,19699,Editora Universitaria EduFatecie,10.33872,Editora Universitaria EduFatecie,True,20211223
25811,19700,METAFIZIKA International Journal of Philosophy and Interdisciplinary Studies,10.33864,METAFIZIKA International Journal of Philosophy and Interdisciplinary Studies,True,20211223
25813,19701,Pakistan Phytopathological Society,10.33866,Pakistan Phytopathological Society,True,20211223
25815,19702,Korea Multimedia Society - English Version Journal,10.33851,Korea Multimedia Society - English Version Journal,True,20211223
25817,19703,Universitas Baiturrahmah,10.33854,Universitas Baiturrahmah,True,20211223
25819,19704,STIKES Citra Delima Bangka Belitung,10.33862,STIKES Citra Delima Bangka Belitung,True,20211223
25821,19705,Poltekkes Kemenkes Palu,10.33860,Poltekkes Kemenkes Palu,True,20211223
25823,19706,Lembaga Talif wa An-Nasyr - LTN - PBNU,10.33852,Lembaga Talif wa An-Nasyr - LTN - PBNU,True,20211223
25825,19707,LPPM Universitas Sari Mulia,10.33859,LPPM Universitas Sari Mulia,True,20211223
25827,19708,Universitas Patria Artha,10.33857,Universitas Patria Artha,True,20211223
25829,19709,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Bandung,10.33867,Sekolah Tinggi Ilmu Kesehatan Aisyiyah Bandung,True,20211223
25831,19711,P3M - Politeknik Perkapalan Negeri Surabaya,10.33863,P3M - Politeknik Perkapalan Negeri Surabaya,True,20211223
25833,19712,STIT Islamic Village,10.33853,STIT Islamic Village,True,20211223
25835,19713,Sekolah Tinggi Teologi Injili Indonesia Surabaya,10.33856,Sekolah Tinggi Teologi Injili Indonesia Surabaya,True,20211223
