,published_year,type,num_objects,num_dois,num_non_dois,objects_has_type,dois_has_type,non_dois_has_type,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_ror,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_orcid,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_issnl,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_ror,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_orcid,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_issnl,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_ror,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_orcid,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_issnl,non_dois_has_venue_sourceid,non_dois_has_venue_string
36,2022.0,reference-entry,743,743,0,743,743,0,222,17,16,16,16,17,691,8,691,691,691,0,703,703,142,0,0,0,0,696,222,17,16,16,16,17,691,8,691,691,691,0,703,703,142,0,0,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2022.0,report,550,550,0,550,550,0,175,89,73,73,73,89,437,109,452,452,437,1,518,518,13,5,5,5,5,5,175,89,73,73,73,89,437,109,452,452,437,1,518,518,13,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2022.0,report-series,33,33,0,33,33,0,22,4,4,4,4,4,17,4,17,17,17,0,28,28,2,1,1,1,1,29,22,4,4,4,4,4,17,4,17,17,17,0,28,28,2,1,1,1,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2022.0,standard,672,672,0,672,672,0,0,25,19,19,19,25,25,0,261,261,25,0,636,636,0,0,0,0,0,0,0,25,19,19,19,25,25,0,261,261,25,0,636,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2021.0,,1269706,398036,871670,0,0,0,546618,406064,192257,186142,193951,406064,1266979,234673,1266980,1266980,1266979,19393,828407,828407,125391,8,8,8,8,921842,206089,186866,94368,92071,95139,186866,395309,94854,395310,395310,395309,8647,212252,212252,75141,8,8,8,8,328038,340529,219198,97889,94071,98812,219198,871670,139819,871670,871670,871670,10746,616155,616155,50250,0,0,0,0,593804
41,2021.0,book,50721,24855,25866,50721,24855,25866,9974,5238,3494,3424,3503,5238,47259,9940,47541,47541,47259,5242,44728,44728,1630,287,158,172,287,2355,3781,1523,971,952,973,1523,21396,4969,21678,21678,21396,1666,21794,21794,429,276,158,172,276,1671,6193,3715,2523,2472,2530,3715,25863,4971,25863,25863,25863,3576,22934,22934,1201,11,0,0,11,684
42,2021.0,book-chapter,544294,536731,7563,544294,536731,7563,201011,212701,174400,167612,174982,212701,492255,160681,493605,493605,492255,29199,487232,487232,200399,11743,5083,5158,11743,83945,198858,211183,173787,167041,174363,211183,484692,158230,486042,486042,484692,28997,480950,480950,199638,11700,5080,5155,11700,81173,2153,1518,613,571,619,1518,7563,2451,7563,7563,7563,202,6282,6282,761,43,3,3,43,2772
43,2021.0,book-part,651,650,1,651,650,1,49,54,54,51,54,54,253,85,253,253,253,6,580,580,34,1,0,0,1,182,48,54,54,51,54,54,252,85,252,252,252,6,580,580,34,1,0,0,1,182,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
44,2021.0,book-section,13,13,0,13,13,0,0,0,0,0,0,0,13,0,13,13,13,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,13,13,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2021.0,book-series,25,25,0,25,25,0,1,2,0,0,0,2,5,2,6,6,5,1,23,23,2,0,0,0,0,2,1,2,0,0,0,2,5,2,6,6,5,1,23,23,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2021.0,book-set,15,15,0,15,15,0,1,7,7,7,7,7,12,1,13,13,12,0,14,14,0,0,0,0,0,0,1,7,7,7,7,7,12,1,13,13,12,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2021.0,component,8934,8932,2,8934,8932,2,120,123,98,96,98,123,8934,2239,8934,8934,8934,70,8057,8057,19,140,117,117,140,161,118,121,96,94,96,121,8932,2237,8932,8932,8932,70,8055,8055,19,138,117,117,138,159,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,0,0,2,2
48,2021.0,dataset,33450,30822,2628,33450,30822,2628,2560,3125,2557,2135,2561,3125,17506,7490,27021,27021,17506,406,21212,21212,77,31,18,18,31,8064,2071,3124,2557,2135,2561,3124,14878,6962,24393,24393,14878,388,19317,19317,76,30,18,18,30,7844,489,1,0,0,0,1,2628,528,2628,2628,2628,18,1895,1895,1,1,0,0,1,220
49,2021.0,dissertation,104736,49767,54969,104736,49767,54969,34157,3225,1072,1000,1078,3225,104736,4306,104736,104736,104736,875,87298,87298,8252,44,16,16,44,5480,8689,1436,664,653,666,1436,49767,1412,49767,49767,49767,322,45582,45582,1209,44,16,16,44,571,25468,1789,408,347,412,1789,54969,2894,54969,54969,54969,553,41716,41716,7043,0,0,0,0,4909
