,published_year,type,num_dois,num_objects,objects_has_abstract,objects_has_affiliations,objects_has_affiliations_countrycode,objects_has_affiliations_grid,objects_has_affiliations_sourceid,objects_has_affiliations_string,objects_has_authors,objects_has_authors_sequence,objects_has_authors_sourceid,objects_has_authors_string,objects_has_citations,objects_has_fields,objects_has_fields_mag,objects_has_references,objects_has_venue,objects_has_venue_issn,objects_has_venue_sourceid,objects_has_venue_string,dois_has_abstract,dois_has_affiliations,dois_has_affiliations_countrycode,dois_has_affiliations_grid,dois_has_affiliations_sourceid,dois_has_affiliations_string,dois_has_authors,dois_has_authors_sequence,dois_has_authors_sourceid,dois_has_authors_string,dois_has_citations,dois_has_fields,dois_has_fields_mag,dois_has_references,dois_has_venue,dois_has_venue_issn,dois_has_venue_sourceid,dois_has_venue_string,non_dois_has_abstract,non_dois_has_affiliations,non_dois_has_affiliations_countrycode,non_dois_has_affiliations_grid,non_dois_has_affiliations_sourceid,non_dois_has_affiliations_string,non_dois_has_authors,non_dois_has_authors_sequence,non_dois_has_authors_sourceid,non_dois_has_authors_string,non_dois_has_citations,non_dois_has_fields,non_dois_has_fields_mag,non_dois_has_references,non_dois_has_venue,non_dois_has_venue_issn,non_dois_has_venue_sourceid,non_dois_has_venue_string
31,2019.0,Dataset,8706,10647,2641,190,181,180,181,190,10647,10647,10647,10647,680,9375,9375,7,0,0,0,0,1989,188,179,178,179,188,8706,8706,8706,8706,619,7928,7928,7,0,0,0,0,652,2,2,2,2,2,1941,1941,1941,1941,61,1447,1447,0,0,0,0,0
32,2019.0,Journal,2953154,3204275,2327720,2450652,2198273,2154147,2209385,2450652,3204275,3204275,3204275,3204275,2044622,3033420,3033420,2104678,3204275,2950576,3204275,3204275,2223322,2371659,2142554,2100794,2153148,2371659,2953154,2953154,2953154,2953154,2006309,2823523,2823523,2082816,2953154,2753300,2953154,2953154,104398,78993,55719,53353,56237,78993,251121,251121,251121,251121,38313,209897,209897,21862,251121,197276,251121,251121
33,2019.0,Patent,68,3695745,3554846,270110,144239,128578,145873,270110,3695745,3695745,3695745,3695745,678453,3459770,3459770,1205635,70,34,70,70,62,50,39,38,39,50,68,68,68,68,45,65,65,58,42,31,42,42,3554784,270060,144200,128540,145834,270060,3695677,3695677,3695677,3695677,678408,3459705,3459705,1205577,28,3,28,28
34,2019.0,Repository,111636,278319,263503,178981,169906,165478,170643,178981,278319,278319,278319,278319,102388,270629,270629,166568,249992,3724,249992,249992,107826,95430,90554,88194,90833,95430,111636,111636,111636,111636,43649,110211,110211,74039,105905,910,105905,105905,155677,83551,79352,77284,79810,83551,166683,166683,166683,166683,58739,160418,160418,92529,144087,2814,144087,144087
35,2019.0,Thesis,23766,450861,240464,8892,1440,1237,1465,8892,450861,450861,450861,450861,13103,244898,244898,19631,0,0,0,0,8875,239,150,146,152,239,23766,23766,23766,23766,1957,17807,17807,2296,0,0,0,0,231589,8653,1290,1091,1313,8653,427095,427095,427095,427095,11146,227091,227091,17335,0,0,0,0
36,2018.0,,1540693,3873815,1527221,1132131,677133,643384,684302,1132131,3873815,3873815,3873815,3873815,488054,2365494,2365494,545942,0,0,0,0,763865,746466,495267,471960,499963,746466,1540693,1540693,1540693,1540693,383800,1105252,1105252,479039,0,0,0,0,763356,385665,181866,171424,184339,385665,2333122,2333122,2333122,2333122,104254,1260242,1260242,66903,0,0,0,0
37,2018.0,Book,33104,108507,24268,10873,6972,6704,6998,10873,108507,108507,108507,108507,33490,73107,73107,3429,0,0,0,0,3503,3200,2284,2197,2293,3200,33104,33104,33104,33104,9995,22040,22040,992,0,0,0,0,20765,7673,4688,4507,4705,7673,75403,75403,75403,75403,23495,51067,51067,2437,0,0,0,0
38,2018.0,BookChapter,176628,196769,28586,26037,22570,21838,22629,26037,196769,196769,196769,196769,30480,125716,125716,41995,0,0,0,0,22977,25223,22191,21467,22250,25223,176628,176628,176628,176628,28838,114763,114763,41233,0,0,0,0,5609,814,379,371,379,814,20141,20141,20141,20141,1642,10953,10953,762,0,0,0,0
39,2018.0,Conference,235960,255965,230916,214513,223695,216029,225547,214513,255965,255965,255965,255965,159937,250243,250243,204862,0,0,0,0,220091,207385,207233,199855,208848,207385,235960,235960,235960,235960,148796,231366,231366,197589,0,0,0,0,10825,7128,16462,16174,16699,7128,20005,20005,20005,20005,11141,18877,18877,7273,0,0,0,0
40,2018.0,Dataset,6697,22718,12767,49,44,43,44,49,8786,8786,8786,8786,1093,20120,20120,97,0,0,0,0,2009,45,42,41,42,45,6697,6697,6697,6697,422,5979,5979,16,0,0,0,0,10758,4,2,2,2,4,2089,2089,2089,2089,671,14141,14141,81,0,0,0,0
41,2018.0,Journal,2806529,3101348,2215443,2311233,2053455,2010617,2064403,2311233,3101348,3101348,3101348,3101348,2011937,2919323,2919323,1952672,3101348,2838070,3101348,3101348,2091162,2218027,1988128,1948429,1998506,2218027,2806529,2806529,2806529,2806529,1958495,2673582,2673582,1925292,2806529,2606783,2806529,2806529,124281,93206,65327,62188,65897,93206,294819,294819,294819,294819,53442,245741,245741,27380,294819,231287,294819,294819
42,2018.0,Patent,111,3643197,3472219,236737,125649,112010,127151,236737,3643197,3643197,3643197,3643197,1054236,3381245,3381245,1281338,79,53,79,79,95,81,70,68,70,81,111,111,111,111,77,93,93,89,59,49,59,59,3472124,236656,125579,111942,127081,236656,3643086,3643086,3643086,3643086,1054159,3381152,3381152,1281249,20,4,20,20
43,2018.0,Repository,97357,252112,239556,136989,130941,127577,131543,136989,252112,252112,252112,252112,93662,243897,243897,135549,223776,4779,223776,223776,91931,74789,70830,69327,71095,74789,97357,97357,97357,97357,39464,96026,96026,62180,88627,840,88627,88627,147625,62200,60111,58250,60448,62200,154755,154755,154755,154755,54198,147871,147871,73369,135149,3939,135149,135149
44,2018.0,Thesis,21558,473365,255938,9680,1415,1230,1442,9680,473365,473365,473365,473365,19138,249956,249956,21699,0,0,0,0,6477,300,178,172,178,300,21558,21558,21558,21558,2440,15946,15946,2021,0,0,0,0,249461,9380,1237,1058,1264,9380,451807,451807,451807,451807,16698,234010,234010,19678,0,0,0,0
45,2017.0,,1311492,4029540,1502960,1027741,599151,569352,605447,1027741,4029540,4029540,4029540,4029540,490921,2364192,2364192,514380,0,0,0,0,664496,608944,405028,385950,408536,608944,1311492,1311492,1311492,1311492,353571,936588,936588,420016,0,0,0,0,838464,418797,194123,183402,196911,418797,2718048,2718048,2718048,2718048,137350,1427604,1427604,94364,0,0,0,0
46,2017.0,Book,23345,103654,28184,9706,5700,5446,5710,9706,103654,103654,103654,103654,37418,69472,69472,3849,0,0,0,0,4308,2229,1341,1284,1343,2229,23345,23345,23345,23345,12568,15257,15257,1130,0,0,0,0,23876,7477,4359,4162,4367,7477,80309,80309,80309,80309,24850,54215,54215,2719,0,0,0,0
47,2017.0,BookChapter,191201,214247,33086,25939,21879,21188,21986,25939,214247,214247,214247,214247,34047,137751,137751,45044,0,0,0,0,26566,24812,21338,20656,21445,24812,191201,191201,191201,191201,31638,124588,124588,43975,0,0,0,0,6520,1127,541,532,541,1127,23046,23046,23046,23046,2409,13163,13163,1069,0,0,0,0
48,2017.0,Conference,236330,251254,228691,209896,219942,212315,221647,209896,251254,251254,251254,251254,166868,245118,245118,212409,0,0,0,0,221204,204642,208069,200713,209667,204642,236330,236330,236330,236330,159350,231749,231749,207682,0,0,0,0,7487,5254,11873,11602,11980,5254,14924,14924,14924,14924,7518,13369,13369,4727,0,0,0,0
49,2017.0,Dataset,8306,19194,10235,23,18,17,18,23,9542,9542,9542,9542,1023,17864,17864,58,0,0,0,0,2695,18,16,16,16,18,8306,8306,8306,8306,561,7681,7681,10,0,0,0,0,7540,5,2,1,2,5,1236,1236,1236,1236,462,10183,10183,48,0,0,0,0
50,2017.0,Journal,2911671,3335328,2383869,2391968,2124705,2077603,2136041,2391968,3335328,3335328,3335328,3335328,2166660,3103032,3103032,2104475,3335328,3025889,3335328,3335328,2226225,2278803,2045734,2002381,2056478,2278803,2911671,2911671,2911671,2911671,2090364,2788681,2788681,2070768,2911671,2697556,2911671,2911671,157644,113165,78971,75222,79563,113165,423657,423657,423657,423657,76296,314351,314351,33707,423657,328333,423657,423657
51,2017.0,Patent,142,2871272,2672582,218132,109406,96934,110840,218132,2871272,2871272,2871272,2871272,1138823,2621054,2621054,1185757,101,81,101,101,113,98,90,85,90,98,142,142,142,142,98,128,128,110,78,74,78,78,2672469,218034,109316,96849,110750,218034,2871130,2871130,2871130,2871130,1138725,2620926,2620926,1185647,23,7,23,23
